Тег;Название трека;Прослушивания;Лайки;Комментарии;Теги из трека
hip-hop;Life for Hip Hop Cheema Y;745149;5509;48;
hip-hop;Life For Hip Hop;419364;2322;6;
hip-hop;Belt Boyz;1213117;26154;303;
hip-hop;Gunna - Spending Addiction;641858;6866;19;
hip-hop;Gunna - Helluva Price;692327;8244;25;
hip-hop;Gunna - Pedestrian;620356;7021;25;
hip-hop;Sneaking;3620238;68637;663;
hip-hop;Lembranças - Hungria Hip Hop;17968168;308280;1572;"""Hungria Hip hop "" ""Hungria Lembranças"" Lembranças-Hungria ""Rap #HipHopp"""
hip-hop;Gunna - Top Off;993798;11539;39;
hip-hop;Hip Hop Hooray;1026441;20342;178;Hardcore
hip-hop;Viral Hip-Hop Mashup by 917Josh;161155;8339;67;
hip-hop;Party Girl;98292664;1062117;29949;Hip-Hop
hip-hop;Chief Keef- Faneto;4464458;76240;1026;"Hip-Hop ""Chief Keep"" Rap Trap"
hip-hop;What They Told Me;793430;16672;162;
hip-hop;She Different (feat. Hunxho);989859;22123;97;
hip-hop;Missing Everything;2250963;42489;539;
hip-hop;Каста - Вокруг шум;4150155;63730;351;Hip-Hop
hip-hop;Killa Season;1666201;30734;295;
hip-hop;PTSD (feat. Chance The Rapper, Juice WRLD & Lil Uzi Vert);44618895;498713;11112;
hip-hop;Макс Корж — Жить В Кайф;12387624;156308;941;"""макс корж"""
hip-hop;Pitbull - Time Of Our Lives Ft. Ne-Yo;52113129;649960;3227;"Ne-Yo ""Time Of Our Lives"" Globalization Dalé Hip-Hop Dance Pop"
hip-hop;Never Stopping;1441766;26512;318;
hip-hop;Toxi$ - November (prod. Fantom);6635063;94617;1355;"Toxi$ November Heartbreak Hip-Hop ""Zion Music"" New"
hip-hop;Viking;2832633;62956;897;
hip-hop;JayDaYoungan - Made The List;1422777;17296;126;
jazz;Jazz;323833.0;6891.0;19.0;"""Lil Double O"""
jazz;Jazz;127966.0;1717.0;39.0;
jazz;Amy Winehouse - Back To Black;12058296.0;217310.0;1564.0;
jazz;Август;12041497.0;162861.0;2600.0;"""Smooth Jazz"" TechnoBlues TechnoJazz"
jazz;See you again;5129485.0;71952.0;2790.0;Jazz Swing
jazz;TUL8TE - HABEEBY LEH توو ليت - حبيبي ليه;2113544.0;57870.0;330.0;TUL8TE - HABEEBY LEH توو ليت حبيبي ليه Trap Rap rock Folk Hip hop Rock Country Jazz dance Electronic Pop
jazz;NBA Youngboy -  Decieved Emotions;10496882.0;112411.0;542.0;Drum Bass Dubstep Electrónica Folk Cantautores Hip hop Rap House Indie Jazz Blues Latina Metal Piano Pop R&B Soul Reggae Reguetón Bandas sonoras Techno Trance Trap Triphop Música mundo
jazz;TUL8TE - MATEEGY A3ADY ALEIKY توو ليت - ماتيجي اعدي عليكي;3027807.0;90432.0;412.0;"TUL8TE - MATEEGY A3ADY ALEIKY توو ليت ماتيجي اعدي عليكي Pop Electronic music set dance Jazz Country Rock Hip hop Folk rock ""Rap #Trap"""
jazz;Drake - Passionfruit (Official Audio) (Extended Version) [HQ];4979142.0;65955.0;910.0;"R&B ""Hip Hop"" Rap Melodic Melody Jazz Night Vibes Vibe City Car Driving Smooth Chill ""Chill Pop"" ""Chill Hip Hop"" Extended Highway Dance ""Dance Pop"" Dancehall Pop Piano Violin Drums Beat Drumstep Bass HQ Synth"
jazz;Khaab  Bollywood romantic song;1729323.0;16825.0;93.0;"Pop Jazz Ballad ""Smooth Jazz"""
jazz;What You Won't Do for Love;3279506.0;66702.0;721.0;"""Smooth Jazz"""
jazz;sleep;40092.0;297.0;9.0;sad sound music lit trap top 100 like follow new Audio dark lofi Lo-Fi mood feels listen play hard quarantine
jazz;Tanin Jazz - Виртуальная Любовь - Virtual Love (full piano ver. + words);1226553.0;21129.0;397.0;
jazz;TANIN JAZZ - ВИРТУАЛЬНАЯ ЛЮБОВЬ - Я знаю твой телефон, но никогда не позвоню;1979425.0;26576.0;375.0;
jazz;Cherry Hill - Russ {Split};6348648.0;91836.0;591.0;"sad slow Rap ""Hip Hop"" russ chill sleep vibes split splitaudio headphones like follow life listen Raw Ep Art New Jam Wave Sad City Mix"
jazz;from the start (meowfey);255060.0;5657.0;175.0;"Jazz ""Smooth Jazz"""
jazz;Vintage Grooves;169966.0;3049.0;26.0;RBsoul
jazz;Sun Dappled Comfort;91164.0;2.0;1.0;
jazz;LoveGame New Jazz Prod Bread Beatz;3151249.0;45965.0;422.0;"""new jazz"" zodiak bread breadbeatz amir. hako lovegamenewjazz Loop lovegame"
jazz;The Night We Met;384229.0;2043.0;57.0;
jazz;just dance (new jazz / house remix) @breadbeatz @newmagick;903915.0;11883.0;85.0;"Remix ""new jazz"""
